,time_id,road_id,segment,flow,speed,var_flow_8,var_speed_8,var_space_flow_8,var_space_speed_8,diff_flow_8,diff_speed_8,diff_kalman_flow,diff_kalman_speed,result_flow,is_crash
485,0,2,106,96,24,180.2,21.8,1850.666667,55.78095238,12.75,-0.75,5.93245515,-0.02767805,0.0,0
486,1,3,214,163,60,341.7,12.3,739.4095238,375.2095238,34.0,-5.5,22.0041146,-4.06588889,0.0,0
487,0,1,114,166,70,424.2,4.5,2407.171429,31.35238095,24.0,-3.75,10.4337894,-0.30301947,0.0,0
488,1,2,108,205,23,261.2,5.3,1336.92381,9.314285714,4.75,-2.0,2.2960108,-0.88651552,0.0,0
489,1,4,127,249,60,221.2,1.7,3415.238095,36.02857143,11.0,1.0,5.1364265,0.41505339,0.0,0
490,1,4,110,193,64,35.8,4.0,428.4952381,268.1238095,3.25,-1.25,1.7278058,0.22774017,0.0,0
491,0,1,109,103,71,212.3,0.7,328.1428571,1.095238095,3.25,-1.0,2.6163012,-9.36e-06,0.0,0
492,1,3,205,113,71,31.5,2.2,144.9238095,278.2380952,10.0,1.0,6.3139407,0.61577258,0.0,0
493,0,4,107,67,70,160.8,1.0,159.2571429,13.6952381,-4.5,-1.25,-1.65728918,0.55466575,0.0,0
494,0,1,201,171,63,122.3,2.7,433.7888889,69.95555556,3.25,-2.25,3.2122452,-0.00269966,0.0,0
